Abbreviation;Name
I;Ingreso
GI;Gasto imprescindible
GP;Gasto prescindible
A;Ahorro
IR;Ingreso real
GIR;Gasto imprescindible real
GPR;Gasto prescindible real
AR;Ahorro real
